Top pages,Clicks,Impressions,CTR,Position
https://www.bylines.dev/about,0,5,0%,51.4
https://www.bylines.dev/,0,3,0%,1
https://www.bylines.dev/terms-and-conditions,0,3,0%,19.67
https://www.bylines.dev/privacy-policy,0,2,0%,3.5
https://bylines.dev/author/b23bc328-8328-4ff3-90be-0b7883b6ba62,0,2,0%,5.5
https://www.bylines.dev/category/climate-tech,0,2,0%,7.5
https://www.bylines.dev/category,0,2,0%,16.5
https://www.bylines.dev/category/artificial-intelligence,0,1,0%,6
https://www.bylines.dev/category/modern-design,0,1,0%,6
https://www.bylines.dev/category/sports-analytics,0,1,0%,7
https://www.bylines.dev/category/systems-engineering,0,1,0%,7
https://www.bylines.dev/category/health-neuroscience,0,1,0%,8
https://www.bylines.dev/category/social-lifestyle,0,1,0%,8
https://www.bylines.dev/category/robotics-embedded,0,1,0%,9
